QUADRANT,FULLADDRESS,ZIPCODE,BEDRM,BATHRM,KITCHENS,PRICE
NW,208 BATES STREET NW,20001.0,2,2,1.0,735000.0
NW,200 BATES STREET NW,20001.0,3,2,1.0,700000.0
SE,322 I STREET SE,20003.0,2,3,1.0,1000000.0
SE,810 3RD STREET SE,20003.0,3,3,1.0,935000.0
SE,137 D STREET SE,20003.0,2,2,1.0,1150000.0
NW,303 O STREET NW,20001.0,3,3,1.0,775000.0
NW,1423 NEW JERSEY AVENUE NW,20001.0,3,2,1.0,760000.0
NW,131 P STREET NW,20001.0,4,3,1.0,1122500.0
NW,1522 1ST STREET NW,20001.0,3,1,1.0,500000.0
SE,400 G STREET SE,20003.0,3,3,1.0,1350000.0
NW,1524 NEW JERSEY AVENUE NW,20001.0,2,1,1.0,530000.0
SW,110 P STREET SW,20024.0,2,2,1.0,450000.0
SE,504 4TH STREET SE,20003.0,2,2,1.0,799900.0
NW,12 HANOVER PLACE NW,20001.0,4,2,1.0,650000.0
NW,50 FLORIDA AVENUE NW,20001.0,5,3,2.0,829000.0
NW,40 FLORIDA AVENUE NW,20001.0,3,2,2.0,885000.0
SE,17 7TH STREET SE,20003.0,5,5,1.0,1378000.0
SE,617 A STREET SE,20003.0,2,1,1.0,973000.0
SE,619 A STREET SE,20003.0,3,2,1.0,1100000.0
SE,621 A STREET SE,20003.0,3,2,1.0,1118000.0
SE,312 L STREET SE,20003.0,3,3,1.0,1190000.0
SE,1011 4TH STREET SE,20003.0,3,3,1.0,984900.0
NE,419 D STREET NE,20002.0,2,2,1.0,837777.0
SE,407 INDEPENDENCE AVENUE SE,20003.0,4,3,1.0,1575000.0
NE,604 EAST CAPITOL STREET NE,20003.0,5,3,2.0,1585000.0
NE,630 EAST CAPITOL STREET NE,20003.0,5,5,2.0,2950000.0
NE,710 5TH STREET NE,20002.0,4,2,1.0,956720.0
NE,416 CONSTITUTION AVENUE NE,20002.0,4,4,3.0,1131000.0
NE,104 5TH STREET NE,20002.0,3,1,1.0,1245000.0
NE,107 2ND STREET NE,20002.0,6,2,1.0,1520000.0
NE,4 TERRACE COURT NE,20002.0,2,1,1.0,580000.0
NE,648 L STREET NE,20002.0,3,3,1.0,851000.0
NE,1112 3RD STREET NE,20002.0,3,1,1.0,444950.0
NE,1110 3RD STREET NE,20002.0,2,1,1.0,555000.0
NE,231 K STREET NE,20002.0,2,2,1.0,629900.0
NE,414 K STREET NE,20002.0,3,1,1.0,650000.0
NE,412 K STREET NE,20002.0,4,3,2.0,906050.0
NE,516 K STREET NE,20002.0,5,2,1.0,946500.0
NE,317 I STREET NE,20002.0,4,3,1.0,819000.0
NE,720 4TH STREET NE,20002.0,3,2,1.0,1100000.0
NE,717 3RD STREET NE,20002.0,3,2,1.0,945000.0
SE,1025 4TH STREET SE,20003.0,3,3,1.0,799000.0
SE,1110 3RD STREET SE,20003.0,3,3,1.0,1072500.0
SE,219 5TH STREET SE,20003.0,4,3,1.0,1630000.0
SE,405 SEWARD SQUARE SE,20003.0,5,3,3.0,1400000.0
NE,642 E STREET NE,20002.0,4,2,2.0,1125000.0
NE,510 7TH STREET NE,20002.0,4,2,2.0,947000.0
NE,517 6TH STREET NE,20002.0,3,2,1.0,685000.0
NE,519 6TH STREET NE,20002.0,3,1,1.0,1010000.0
SE,317 E STREET SE,20003.0,3,1,1.0,362820.0
NE,403 CONSTITUTION AVENUE NE,20002.0,3,3,3.0,926000.0
NE,1143 ABBEY PLACE NE,20002.0,3,1,1.0,600000.0
NE,1173 ABBEY PLACE NE,20002.0,3,2,1.0,692500.0
NE,1170 ABBEY PLACE NE,20002.0,3,2,2.0,800000.0
NE,1168 ABBEY PLACE NE,20002.0,3,1,1.0,600000.0
NE,1164 ABBEY PLACE NE,20002.0,2,2,1.0,755000.0
NE,1146 ABBEY PLACE NE,20002.0,2,2,1.0,700000.0
SE,639 EAST CAPITOL STREET SE,20003.0,5,2,1.0,3000000.0
